"zpid","streetaddress","zipcode","city","state","latitude","longitude","price","bathrooms","bedrooms","livingarea","rentzestimate","homedetailurl"
24750901,"4456 Moraga Ave","94611","Oakland","CA","37.82956700","-122.24419400","4000.00","1.50",2,"1175.00","3999.00","https://www.zillow.com/homedetails/4456-Moraga-Ave-Oakland-CA-94611/24750901_zpid/"
299077155,"5700 Balmoral Dr","94619","Oakland","CA","37.80063600","-122.16174000","5200.00","2.00",2,"1800.00","3326.00","https://www.zillow.com/homedetails/5700-Balmoral-Dr-Oakland-CA-94619/299077155_zpid/"
19625038,"22030 Hibiscus Dr","95014","Cupertino","CA","37.33474300","-122.06011000","5490.00","2.00",4,"1411.00","4749.00","https://www.zillow.com/homedetails/22030-Hibiscus-Dr-Cupertino-CA-95014/19625038_zpid/"
339929921,"320 E 17th St","94606","Oakland","CA","37.79886600","-122.25269000","2595.00","1.00",2,"900.00",NULL,"https://www.zillow.com/homedetails/320-E-17th-St-Oakland-CA-94606/339929921_zpid/"
15584623,"2759 Hunter St","94303","East Palo Alto","CA","37.48012000","-122.13837000","3995.00","1.00",3,"1010.00","3999.00","https://www.zillow.com/homedetails/2759-Hunter-St-East-Palo-Alto-CA-94303/15584623_zpid/"
2060221433,"936 S 7th St","95112","San Jose","CA","37.32512300","-121.87372000","2050.00","1.00",1,"492.00","1975.00","https://www.zillow.com/homedetails/936-S-7th-St-San-Jose-CA-95112/2060221433_zpid/"
54770516,"2102 Fisk Pl","95050","Santa Clara","CA","37.36149000","-121.96174000","6200.00","3.00",4,"2360.00","5466.00","https://www.zillow.com/homedetails/2102-Fisk-Pl-Santa-Clara-CA-95050/54770516_zpid/"
24903494,"606 Fairway St","94544","Hayward","CA","37.62361500","-122.03683500","4750.00","3.00",4,"2438.00","4500.00","https://www.zillow.com/homedetails/606-Fairway-St-Hayward-CA-94544/24903494_zpid/"
24899059,"15015 Costela St","94579","San Leandro","CA","37.69069700","-122.15698000","3495.00","1.50",3,"1114.00","2999.00","https://www.zillow.com/homedetails/15015-Costela-St-San-Leandro-CA-94579/24899059_zpid/"
19486413,"3585 Cropley Ave","95132","San Jose","CA","37.41589700","-121.85734000","3975.00","2.00",3,"1412.00","3699.00","https://www.zillow.com/homedetails/3585-Cropley-Ave-San-Jose-CA-95132/19486413_zpid/"
119110913,"40937 Gramercy Ter","94538","Fremont","CA","37.53268000","-121.96821600","4250.00","3.50",4,"1800.00","4099.00","https://www.zillow.com/homedetails/40937-Gramercy-Ter-Fremont-CA-94538/119110913_zpid/"
340058009,"1545 Meadowlark Ln","94087","Sunnyvale","CA","37.34319700","-122.01327000","3700.00","2.00",2,"800.00","3168.00","https://www.zillow.com/homedetails/1545-Meadowlark-Ln-Sunnyvale-CA-94087/340058009_zpid/"
61278763,"843 Georgetown Pl","95126","San Jose","CA","37.32737700","-121.90537000","4100.00","3.00",3,"1584.00","3931.00","https://www.zillow.com/homedetails/843-Georgetown-Pl-San-Jose-CA-95126/61278763_zpid/"
25060214,"6341 Joaquin Murieta Ave APT B","94560","Newark","CA","37.51846700","-122.00125000","3275.00","2.00",3,"1400.00","3399.00","https://www.zillow.com/homedetails/6341-Joaquin-Murieta-Ave-APT-B-Newark-CA-94560/25060214_zpid/"
19846872,"1014 Kiser Dr","95120","San Jose","CA","37.20036700","-121.82892600","4150.00","2.00",3,"1250.00","3785.00","https://www.zillow.com/homedetails/1014-Kiser-Dr-San-Jose-CA-95120/19846872_zpid/"
2052867669,"19932 San Miguel Ave","94546","Castro Valley","CA","37.70025300","-122.08102000","2200.00","1.00",1,"895.00",NULL,"https://www.zillow.com/homedetails/19932-San-Miguel-Ave-Castro-Valley-CA-94546/2052867669_zpid/"
